src_ip,dst_ip,protocol,packet_size,label
192.168.3.231,1.0.0.1,TCP,693,Normal
192.168.9.113,149.112.112.112,ICMP,2262,Suspicious
192.168.2.104,9.9.9.9,TCP,683,Normal
192.168.2.101,149.112.112.112,UDP,2726,Suspicious
192.168.5.145,149.112.112.112,TCP,392,Normal
192.168.7.215,208.67.222.222,ICMP,1771,Suspicious
192.168.2.104,208.67.222.222,TCP,303,Normal
172.16.5.112,4.4.4.4,UDP,289,Normal
172.16.2.110,8.8.8.8,ICMP,84,Normal
192.168.10.67,149.112.112.112,TCP,1419,Suspicious
192.168.2.254,4.4.4.4,TCP,478,Normal
192.168.2.106,1.1.1.1,TCP,3000,Suspicious
192.168.5.45,208.67.220.220,TCP,780,Normal
10.0.2.217,9.9.9.9,ICMP,65,Normal
192.168.1.131,8.8.8.8,ICMP,65,Normal
192.168.3.183,1.1.1.1,UDP,1328,Suspicious
192.168.8.95,8.8.4.4,ICMP,1328,Suspicious
172.16.3.64,208.67.220.220,ICMP,66,Normal
192.168.10.69,4.2.2.2,UDP,2607,Suspicious
192.168.7.225,4.4.4.4,TCP,1540,Suspicious
192.168.0.85,8.8.8.8,TCP,2167,Suspicious
192.168.8.226,208.67.220.220,ICMP,1858,Suspicious
192.168.5.207,8.8.4.4,UDP,1454,Suspicious
192.168.5.92,149.112.112.112,TCP,1914,Suspicious
172.16.0.250,208.67.220.220,TCP,552,Normal
192.168.5.145,4.4.4.4,TCP,295,Normal
192.168.9.111,208.67.222.222,ICMP,1423,Suspicious
192.168.6.215,149.112.112.112,ICMP,1799,Suspicious
172.16.0.250,4.2.2.2,ICMP,131,Normal
192.168.10.127,1.1.1.1,UDP,2291,Suspicious
192.168.1.131,208.67.220.220,TCP,777,Normal
172.16.0.239,8.8.4.4,TCP,744,Normal
172.16.4.116,9.9.9.9,TCP,460,Normal
192.168.5.191,4.2.2.2,TCP,229,Normal
10.0.3.56,9.9.9.9,UDP,625,Normal
192.168.7.167,149.112.112.112,UDP,1335,Suspicious
192.168.9.152,8.8.8.8,ICMP,2676,Suspicious
172.16.0.115,208.67.222.222,TCP,351,Normal
192.168.4.58,1.0.0.1,UDP,535,Normal
172.16.3.56,4.4.4.4,TCP,503,Normal
192.168.5.29,1.0.0.1,UDP,2568,Suspicious
10.0.0.88,208.67.222.222,UDP,235,Normal
192.168.3.139,9.9.9.9,UDP,258,Normal
192.168.2.86,9.9.9.9,ICMP,1890,Suspicious
192.168.3.32,1.0.0.1,UDP,2397,Suspicious
192.168.2.238,4.4.4.4,TCP,915,Normal
10.0.2.114,208.67.222.222,TCP,848,Normal
192.168.1.115,1.1.1.1,ICMP,1359,Suspicious
192.168.1.115,208.67.220.220,ICMP,1912,Suspicious
192.168.5.178,8.8.8.8,UDP,619,Normal
192.168.5.119,8.8.4.4,UDP,824,Normal
172.16.3.64,4.4.4.4,UDP,823,Normal
192.168.5.85,8.8.8.8,UDP,472,Normal
172.16.3.126,1.1.1.1,ICMP,70,Normal
192.168.9.74,149.112.112.112,UDP,1997,Suspicious
192.168.10.12,208.67.222.222,ICMP,1368,Suspicious
172.16.5.112,208.67.220.220,ICMP,54,Normal
192.168.2.51,1.0.0.1,ICMP,1866,Suspicious
192.168.2.239,208.67.222.222,UDP,2730,Suspicious
192.168.2.181,8.8.4.4,UDP,755,Normal
192.168.5.17,9.9.9.9,TCP,1650,Suspicious
192.168.2.5,208.67.220.220,ICMP,1787,Suspicious
192.168.10.106,8.8.4.4,TCP,1476,Suspicious
172.16.3.126,208.67.220.220,TCP,869,Normal
192.168.0.229,9.9.9.9,ICMP,2536,Suspicious
192.168.4.206,1.1.1.1,TCP,1452,Suspicious
192.168.7.33,8.8.8.8,ICMP,2546,Suspicious
192.168.4.139,8.8.4.4,UDP,2677,Suspicious
192.168.10.252,9.9.9.9,ICMP,2947,Suspicious
192.168.1.77,1.0.0.1,UDP,1798,Suspicious
10.0.0.60,1.0.0.1,TCP,597,Normal
192.168.4.226,208.67.222.222,TCP,818,Normal
192.168.4.52,9.9.9.9,ICMP,1518,Suspicious
10.0.0.30,8.8.8.8,TCP,102,Normal
192.168.10.224,149.112.112.112,TCP,1425,Suspicious
192.168.1.169,8.8.8.8,UDP,65,Normal
192.168.5.119,1.1.1.1,UDP,628,Normal
192.168.3.58,208.67.220.220,TCP,698,Normal
10.0.1.131,8.8.4.4,TCP,449,Normal
10.0.1.59,4.2.2.2,UDP,452,Normal
10.0.1.34,1.1.1.1,UDP,250,Normal
